"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1u","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C2","0.1u","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","10n","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C4","4u7","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C5,C6,C9,C12","100n","~","Capacitor_SMD:C_0402_1005Metric","4",""
"C7","10u","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C8","22u","~","Capacitor_SMD:C_Elec_5x5.4","1",""
"Flex1neg1,Flex1pos1,Flex2neg1,Flex2pos1,Flex3neg1,Flex3pos1","TestPoint","~","TestPoint:TestPoint_Pad_D1.5mm","6",""
"H1,H2,H3,H4","MountingHole_Pad","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","4",""
"J1","Conn_ST_STDC14","https://www.st.com/content/ccc/resource/technical/document/user_manual/group1/99/49/91/b6/b2/3a/46/e5/DM00526767/files/DM00526767.pdf/jcr:content/translations/en.DM00526767.pdf","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD","1",""
"J2","Conn_01x06","~","Connector_JST:JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical","1",""
"J3","Conn_01x02","~","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","1",""
"R1,R4,R6,R8,R10,R12,R13,R14","10k","-- valeurs mixées --","-- valeurs mixées --","8",""
"R2,R7,R11","20k","~","Resistor_SMD:R_0402_1005Metric","3",""
"R3,R5,R9","4.7k","~","Resistor_SMD:R_0402_1005Metric","3",""
"SW2","RotaryEncoder","https://www.mouser.lu/datasheet/2/15/EC12E-1370769.pdf","Rotary_Encoder:RotaryEncoder_Alps_EC12E_Vertical_H20mm","1",""
"U1","STM32G431KBTx","https://www.st.com/resource/en/datasheet/stm32g431kb.pdf","Package_QFP:LQFP-32_7x7mm_P0.8mm","1",""
"U2,U3","MCP602","http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2",""
"U5","AZ1117-3.3","https://www.diodes.com/assets/Datasheets/AZ1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
